TIME,REP_AIRP,UNIT,TRA_MEAS,AIRLINE,Value,Flag and Footnotes
2018M01,ANTWERPEN/DEURNE airport,Passenger,Passengers carried,All airlines,17 305,
2018M01,BRUSSELS airport,Passenger,Passengers carried,All airlines,:,
2018M01,CHARLEROI/BRUSSELS SOUTH airport,Passenger,Passengers carried,All airlines,531 395,
2018M01,LIEGE airport,Passenger,Passengers carried,All airlines,7 261,
2018M01,OOSTENDE/BRUGGE airport,Passenger,Passengers carried,All airlines,15 315,
2018M01,BURGAS airport,Passenger,Passengers carried,All airlines,7 494,
2018M01,PLOVDIV airport,Passenger,Passengers carried,All airlines,19 040,
2018M01,SOFIA airport,Passenger,Passengers carried,All airlines,498 144,
2018M01,VARNA airport,Passenger,Passengers carried,All airlines,59 109,
2018M01,KARLOVY VARY airport,Passenger,Passengers carried,All airlines,669,
2018M01,OSTRAVA/MOSNOV airport,Passenger,Passengers carried,All airlines,9 795,
2018M01,PARDUBICE airport,Passenger,Passengers carried,All airlines,19 012,
2018M01,PRAHA/RUZYNE airport,Passenger,Passengers carried,All airlines,929 565,
2018M01,BRNO/TURANY airport,Passenger,Passengers carried,All airlines,10 275,
2018M01,AARHUS airport,Passenger,Passengers carried,All airlines,28 103,
2018M01,BILLUND airport,Passenger,Passengers carried,All airlines,208 466,
2018M01,KOBENHAVN/KASTRUP airport,Passenger,Passengers carried,All airlines,1 917 027,
2018M01,ESBJERG airport,Passenger,Passengers carried,All airlines,5 533,
2018M01,KARUP airport,Passenger,Passengers carried,All airlines,10 233,
2018M01,KOBENHAVN/ROSKILDE airport,Passenger,Passengers carried,All airlines,192,
2018M01,BORNHOLM/RONNE airport,Passenger,Passengers carried,All airlines,17 998,
2018M01,SONDERBORG airport,Passenger,Passengers carried,All airlines,4 496,
2018M01,THISTED airport,Passenger,Passengers carried,All airlines,0,
2018M01,VAGAR airport,Passenger,Passengers carried,All airlines,:,
2018M01,AALBORG airport,Passenger,Passengers carried,All airlines,112 168,
2018M01,LEIPZIG-ALTENBURG airport,Passenger,Passengers carried,All airlines,:,
2018M01,HERINGSDORF airport,Passenger,Passengers carried,All airlines,:,
2018M01,MERSEBURG airport,Passenger,Passengers carried,All airlines,:,
2018M01,MAGDEBURG/COCHSTEDT airport,Passenger,Passengers carried,All airlines,:,
2018M01,RUPPINER LAND airport,Passenger,Passengers carried,All airlines,:,
2018M01,BERLIN-SCHOENEFELD airport,Passenger,Passengers carried,All airlines,:,
2018M01,DRESDEN airport,Passenger,Passengers carried,All airlines,:,
2018M01,ERFURT-WEIMAR airport,Passenger,Passengers carried,All airlines,:,
2018M01,FRANKFURT/MAIN airport,Passenger,Passengers carried,All airlines,:,
2018M01,MUENSTER/OSNABRUECK airport,Passenger,Passengers carried,All airlines,:,
2018M01,HAMBURG airport,Passenger,Passengers carried,All airlines,:,
2018M01,BERLIN/TEMPELHOF airport,Passenger,Passengers carried,All airlines,:,
2018M01,KOELN/BONN airport,Passenger,Passengers carried,All airlines,:,
2018M01,DUESSELDORF airport,Passenger,Passengers carried,All airlines,:,
2018M01,MUENCHEN airport,Passenger,Passengers carried,All airlines,:,
2018M01,NUERNBERG airport,Passenger,Passengers carried,All airlines,:,
2018M01,LEIPZIG/HALLE airport,Passenger,Passengers carried,All airlines,:,
2018M01,SAARBRUECKEN airport,Passenger,Passengers carried,All airlines,:,
2018M01,STUTTGART airport,Passenger,Passengers carried,All airlines,:,
2018M01,BERLIN-TEGEL airport,Passenger,Passengers carried,All airlines,:,
